Time_Index,coal,ng,hydrogen,biomass,uranium,None,elec_imp_uk,elec_imp_no,elec_imp_de,elec_imp_ge,elec_imp_be
75,10.75,8.5,0,9.5,2.55,0,30.07,62.41,35,40,25.48
76,10.75,8.5,0,9.5,2.55,0,27.66,62.08,57.73,8.68,35
77,10.75,8.5,0,9.5,2.55,0,27.27,64.47,72.65,0.85,57.73
78,10.75,8.5,0,9.5,2.55,0,27.83,70.38,85.02,11.02,72.65
79,10.75,8.5,0,9.5,2.55,0,30.33,85.02,91.47,61.02,85.02
80,10.75,8.5,0,9.5,2.55,0,33.54,91.47,94.2,79.2,91.47
81,10.75,8.5,0,9.5,2.55,0,40.48,94.2,91.61,84.2,94.2
82,10.75,8.5,0,9.5,2.55,0,43.74,91.98,90.03,83.32,91.59
83,10.75,8.5,0,9.5,2.55,0,44.58,90.4,86.3,70.07,90
84,10.75,8.5,0,9.5,2.55,0,46.33,86.69,85.96,79.74,86.26
85,10.75,8.5,0,9.5,2.55,0,46.33,85.96,92.11,80.89,85.96
86,10.75,8.5,0,9.5,2.55,0,48.62,92.11,98.62,79.72,92.11
87,10.75,8.5,0,9.5,2.55,0,47.57,98.62,105.73,80.22,98.62
88,10.75,8.5,0,9.5,2.55,0,41.03,105.73,133.23,79.74,101.93
89,10.75,8.5,0,9.5,2.55,0,58.71,133.23,144.65,80.82,121.22
90,10.75,8.5,0,9.5,2.55,0,74.64,144.65,125,86.16,129.28
91,10.75,8.5,0,9.5,2.55,0,63.98,121.37,103.59,72.28,110.95
92,10.75,8.5,0,9.5,2.55,0,51.39,100.58,100.01,66.61,96.94
93,10.75,8.5,0,9.5,2.55,0,45.43,97.11,94.86,43.2,88.5
94,10.75,8.5,0,9.5,2.55,0,44.2,92.11,88.83,31.25,85.07
95,10.75,8.5,0,9.5,2.55,0,42.19,86.25,86.08,34.96,87.67
96,10.75,8.5,0,9.5,2.55,0,49.34,88.83,80.51,9.09,86.08
97,10.75,8.5,0,9.5,2.55,0,36.01,83.09,77.01,0.05,80.51
98,10.75,8.5,0,9.5,2.55,0,34.64,79.47,73.21,0.07,77.01
99,10.75,8.5,0,9.5,2.55,0,33.34,75.39,74.05,0.07,71.7
100,10.75,8.5,0,9.5,2.55,0,33.19,76.26,76.03,0.12,66.34
101,10.75,8.5,0,9.5,2.55,0,31.58,75.23,81,2.23,71.42
102,10.75,8.5,0,9.5,2.55,0,32.11,78.65,87,10.07,77.3
103,10.75,8.5,0,9.5,2.55,0,32.92,84.47,89.57,61.04,87.6
104,10.75,8.5,0,9.5,2.55,0,35.54,86.98,94.93,87.19,90.14
105,10.75,8.5,0,9.5,2.55,0,37.95,92.18,96.28,95.84,95.12
106,10.75,8.5,0,9.5,2.55,0,41.69,93.49,98.22,125.55,96.32
107,10.75,8.5,0,9.5,2.55,0,49.34,95.37,92.24,131.92,98.23
108,10.75,8.5,0,9.5,2.55,0,42.56,89.56,91.54,143.07,92.4
109,10.75,8.5,0,9.5,2.55,0,43.01,88.89,96.41,140.91,91.92
110,10.75,8.5,0,9.5,2.55,0,48.07,93.62,100.05,142.58,96.87
111,10.75,8.5,0,9.5,2.55,0,49.34,97.15,102.97,151.03,100.46
112,10.75,8.5,0,9.5,2.55,0,45.28,99.98,107.38,159.48,103.33
113,10.75,8.5,0,9.5,2.55,0,60.72,104.26,108.45,172.73,107.65
114,10.75,8.5,0,9.5,2.55,0,73.54,111.68,103.96,194.7,108.58
115,10.75,8.5,0,9.5,2.55,0,57.85,100.95,100.09,194.67,104.15
116,10.75,8.5,0,9.5,2.55,0,51.21,103.08,94.19,177.98,100.28
117,10.75,8.5,0,9.5,2.55,0,42.27,97,94.92,163.99,94.29
118,10.75,8.5,0,9.5,2.55,0,44.28,97.75,86.8,152,94.92
119,10.75,8.5,0,9.5,2.55,0,39.36,89.39,82.25,144.64,86.8
120,10.75,8.5,0,9.5,2.55,0,30.82,84.88,80.2,127,82.25
121,10.75,8.5,0,9.5,2.55,0,30.66,82.77,76.13,107.21,80.2
122,10.75,8.5,0,9.5,2.55,0,30.73,78.56,73.01,101.1,76.13
123,10.75,8.5,0,9.5,2.55,0,29.3,75.35,73.01,96.73,73.01
124,10.75,8.5,0,9.5,2.55,0,28.49,75.35,74.59,82.34,73.01
125,10.75,8.5,0,9.5,2.55,0,30.42,76.98,75.1,81.93,74.59
126,10.75,8.5,0,9.5,2.55,0,34.82,77.5,81.39,84.03,75.1
127,10.75,8.5,0,9.5,2.55,0,45.58,84,88.4,97.25,81.39
128,10.75,8.5,0,9.5,2.55,0,47.06,90.87,92.23,106.51,88.4
129,10.75,8.5,0,9.5,2.55,0,49.8,94.98,97.3,120.7,92.23
130,10.75,8.5,0,9.5,2.55,0,48.73,100.41,100.43,116.86,97.3
131,10.75,8.5,0,9.5,2.55,0,47.04,103.65,99.16,112.85,100.42
132,10.75,8.5,0,9.5,2.55,0,45.75,102.33,95.22,113.37,99.16
133,10.75,8.5,0,9.5,2.55,0,44.86,97.75,92.55,115,92.2
134,10.75,8.5,0,9.5,2.55,0,45.79,95.51,95.09,109.78,92.11
135,10.75,8.5,0,9.5,2.55,0,48.07,97.74,99.85,119.71,90.42
136,10.75,8.5,0,9.5,2.55,0,48.38,102.83,104.69,125.83,91.33
137,10.75,8.5,0,9.5,2.55,0,54.31,107.82,103.84,139.57,104.41
138,10.75,8.5,0,9.5,2.55,0,64.87,106.94,99.31,155.93,103.63
139,10.75,8.5,0,9.5,2.55,0,58.32,102.27,92.23,163.5,99
140,10.75,8.5,0,9.5,2.55,0,54.75,94.98,88,146.74,92.14
141,10.75,8.5,0,9.5,2.55,0,44.76,90.63,86.75,139.38,88
142,10.75,8.5,0,9.5,2.55,0,45.03,89.34,80.03,131.8,86.57
143,10.75,8.5,0,9.5,2.55,0,37.95,82.43,86.15,129.94,79.87
144,10.75,8.5,0,9.5,2.55,0,35.4,86.15,82.46,121.3,84.08
145,10.75,8.5,0,9.5,2.55,0,34.41,82.46,76.92,97.15,79.82
146,10.75,8.5,0,9.5,2.55,0,33.07,79.22,75.28,98.43,76.76
147,10.75,8.5,0,9.5,2.55,0,32.1,77.53,73.33,96.05,73.46
148,10.75,8.5,0,9.5,2.55,0,32.71,75.52,73.78,87.97,71.86
149,10.75,8.5,0,9.5,2.55,0,34.13,75.98,75.14,82.99,72.08
150,10.75,8.5,0,9.5,2.55,0,43.01,77.38,78.04,83.59,74.9
151,10.75,8.5,0,9.5,2.55,0,54.06,80.37,81.79,90.76,77.69
152,10.75,8.5,0,9.5,2.55,0,53.77,84.21,85.03,103.21,81.79
153,10.75,8.5,0,9.5,2.55,0,56.39,87.57,87.15,111.86,84.86
154,10.75,8.5,0,9.5,2.55,0,54.96,89.75,89.32,112,87.14
155,10.75,8.5,0,9.5,2.55,0,52.24,91.99,91.5,100,89.13
156,10.75,8.5,0,9.5,2.55,0,50.97,91.5,87.52,88.32,88.66
157,10.75,8.5,0,9.5,2.55,0,50.52,87.52,85.03,87.9,84.81
158,10.75,8.5,0,9.5,2.55,0,49.72,87.23,88.01,94.05,84.34
159,10.75,8.5,0,9.5,2.55,0,47.87,90.64,93.42,88.98,88.01
160,10.75,8.5,0,9.5,2.55,0,50.63,96.21,101.77,85.56,93.42
161,10.75,8.5,0,9.5,2.55,0,53.27,104.27,104.85,94.1,101.77
162,10.75,8.5,0,9.5,2.55,0,53.44,106.09,103.55,96.81,104.85
163,10.75,8.5,0,9.5,2.55,0,54.1,103.55,100.5,99.52,103.55
164,10.75,8.5,0,9.5,2.55,0,52.88,100.5,93.31,94.58,100.5
165,10.75,8.5,0,9.5,2.55,0,46.13,93.31,91.17,87.86,93.31
166,10.75,8.5,0,9.5,2.55,0,41.72,91.17,83.86,61.47,91.17
167,10.75,8.5,0,9.5,2.55,0,36.34,83.86,87.02,50,83.86
168,10.75,8.5,0,9.5,2.55,0,30.24,87.02,84.32,38.25,87.03
169,10.75,8.5,0,9.5,2.55,0,28.54,84.32,81.82,10.93,84.3
170,10.75,8.5,0,9.5,2.55,0,25.75,81.82,79.11,9.07,81.69
171,10.75,8.5,0,9.5,2.55,0,21.89,80.63,78.48,9.1,78.97
172,10.75,8.5,0,9.5,2.55,0,21.36,79.04,82.1,4.16,78.46
173,10.75,8.5,0,9.5,2.55,0,26.42,82.1,94.3,5.58,82.1
174,10.75,8.5,0,9.5,2.55,0,34.69,94.3,111.1,9.92,94.3
175,10.75,8.5,0,9.5,2.55,0,44.37,107.87,121.11,9.02,111.08
176,10.75,8.5,0,9.5,2.55,0,46.7,117.6,117.83,16.47,121.11
177,10.75,8.5,0,9.5,2.55,0,46.06,120.73,110.6,49.42,117.83
178,10.75,8.5,0,9.5,2.55,0,48.1,113.9,103,82.8,110.59
179,10.75,8.5,0,9.5,2.55,0,48.11,101.38,95.5,93.7,103
180,10.75,8.5,0,9.5,2.55,0,48.92,92.73,94.03,103.87,95.46
181,10.75,8.5,0,9.5,2.55,0,49.43,92.52,102.33,101.69,94.58
182,10.75,8.5,0,9.5,2.55,0,50.63,99.36,107.98,99,100
183,10.75,8.5,0,9.5,2.55,0,50.95,104.85,123.83,104.29,107.98
184,10.75,8.5,0,9.5,2.55,0,52.67,120.24,129.15,103.64,116.81
185,10.75,8.5,0,9.5,2.55,0,65.24,125.41,130.01,109.11,129.19
186,10.75,8.5,0,9.5,2.55,0,73.37,126.24,122.12,118.04,129.99
187,10.75,8.5,0,9.5,2.55,0,62.75,118.57,114.21,122.61,121.85
188,10.75,8.5,0,9.5,2.55,0,55.92,110.9,102.83,109.11,114.16
189,10.75,8.5,0,9.5,2.55,0,49.74,99.85,99.98,103.93,102.48
190,10.75,8.5,0,9.5,2.55,0,45.91,97.08,91.49,98.43,99.75
191,10.75,8.5,0,9.5,2.55,0,43.65,88.83,88.16,99.37,91.49
192,10.75,8.5,0,9.5,2.55,0,47.81,85.43,87.04,81.34,84.51
193,10.75,8.5,0,9.5,2.55,0,43.38,84.34,85,75.13,83.29
194,10.75,8.5,0,9.5,2.55,0,36.02,82.54,84.14,64.38,85
195,10.75,8.5,0,9.5,2.55,0,33.43,81.7,85.72,60.28,83.89
