Time_Index,coal,ng,hydrogen,biomass,uranium,None,elec_imp_uk,elec_imp_no,elec_imp_de,elec_imp_ge,elec_imp_be
1300,10.75,8.5,0,9.5,2.55,0,41.99,53.49,57.1,114.76,55.39
1301,10.75,8.5,0,9.5,2.55,0,30.87,53.92,61.67,117.55,57.1
1302,10.75,8.5,0,9.5,2.55,0,38.74,53.95,66.11,117.23,61.67
1303,10.75,8.5,0,9.5,2.55,0,46.53,54.61,64.4,137.12,66.11
1304,10.75,8.5,0,9.5,2.55,0,47.95,54.69,57.6,155.05,64.4
1305,10.75,8.5,0,9.5,2.55,0,46.73,52.66,49.16,155,57.6
1306,10.75,8.5,0,9.5,2.55,0,47.19,49.99,45.84,150.26,49.15
1307,10.75,8.5,0,9.5,2.55,0,49.42,47.61,40.32,131.43,45.77
1308,10.75,8.5,0,9.5,2.55,0,50.1,45.2,32.22,109.02,40.31
1309,10.75,8.5,0,9.5,2.55,0,50.48,43.38,37.6,112.76,32.22
1310,10.75,8.5,0,9.5,2.55,0,44.98,46.28,45,107.88,37.6
1311,10.75,8.5,0,9.5,2.55,0,45.67,49.14,55.95,101.49,45
1312,10.75,8.5,0,9.5,2.55,0,38.97,51.7,71.67,109.08,55.96
1313,10.75,8.5,0,9.5,2.55,0,41.37,56.58,80,110.49,72.56
1314,10.75,8.5,0,9.5,2.55,0,54.4,72.83,74.13,119.69,81.34
1315,10.75,8.5,0,9.5,2.55,0,59.46,58.98,65.17,136.41,74.13
1316,10.75,8.5,0,9.5,2.55,0,55.79,56.03,59.94,116.96,65.17
1317,10.75,8.5,0,9.5,2.55,0,49.72,54.99,56,91.35,59.94
1318,10.75,8.5,0,9.5,2.55,0,45.8,53.22,52.2,104.61,58.99
1319,10.75,8.5,0,9.5,2.55,0,30.11,51.85,56.57,93.13,56.39
1320,10.75,8.5,0,9.5,2.55,0,35.17,54.7,55.44,78.58,56.57
1321,10.75,8.5,0,9.5,2.55,0,34.77,53.72,55.38,90.55,55.44
1322,10.75,8.5,0,9.5,2.55,0,35.17,53.67,54.89,83.14,55.4
1323,10.75,8.5,0,9.5,2.55,0,32.26,53.19,55.19,78.93,54.9
1324,10.75,8.5,0,9.5,2.55,0,27.85,53.48,55.07,75.23,55.2
1325,10.75,8.5,0,9.5,2.55,0,27.46,53.36,56.71,82.03,55.07
1326,10.75,8.5,0,9.5,2.55,0,32.44,54.95,59.92,77.97,57.19
1327,10.75,8.5,0,9.5,2.55,0,43.1,55.45,61.58,76.77,59.92
1328,10.75,8.5,0,9.5,2.55,0,49.72,56.87,61.82,84.47,65.04
1329,10.75,8.5,0,9.5,2.55,0,54.4,58.08,56.31,89.89,64.28
1330,10.75,8.5,0,9.5,2.55,0,50.6,55.02,54.12,87.02,56.67
1331,10.75,8.5,0,9.5,2.55,0,40.48,52.9,50,74.4,54.36
1332,10.75,8.5,0,9.5,2.55,0,37.01,49.81,46.03,65.17,50
1333,10.75,8.5,0,9.5,2.55,0,37.32,48.22,49.84,59.43,46.03
1334,10.75,8.5,0,9.5,2.55,0,39.89,51.17,55,44.9,49.84
1335,10.75,8.5,0,9.5,2.55,0,39.85,53.44,67.8,62.68,55
1336,10.75,8.5,0,9.5,2.55,0,36.06,58.99,82.19,81.85,68.54
1337,10.75,8.5,0,9.5,2.55,0,45.65,79.64,93.69,96.54,84.57
1338,10.75,8.5,0,9.5,2.55,0,60.47,90.79,79.18,123.4,85.17
1339,10.75,8.5,0,9.5,2.55,0,75.42,73.17,69.99,136.48,77.52
1340,10.75,8.5,0,9.5,2.55,0,58.19,63.65,65.92,130.85,69.78
1341,10.75,8.5,0,9.5,2.55,0,45.54,59.35,65.23,116.64,65.11
1342,10.75,8.5,0,9.5,2.55,0,41.27,55.98,58.38,102.27,65.23
1343,10.75,8.5,0,9.5,2.55,0,37.07,55.25,57.83,114.93,58.38
1344,10.75,8.5,0,9.5,2.55,0,37.95,55.98,56.82,107.43,57.83
1345,10.75,8.5,0,9.5,2.55,0,36.59,55,55.7,106.39,56.82
1346,10.75,8.5,0,9.5,2.55,0,37.32,53.87,51.8,102.94,55.69
1347,10.75,8.5,0,9.5,2.55,0,34.15,50.3,53.3,102.77,51.8
1348,10.75,8.5,0,9.5,2.55,0,27.71,51.75,57.92,106.26,52.84
1349,10.75,8.5,0,9.5,2.55,0,27.25,54.93,70.02,104.1,57.92
1350,10.75,8.5,0,9.5,2.55,0,34.05,55.12,79.9,105.54,65.52
1351,10.75,8.5,0,9.5,2.55,0,41.86,65.1,81.6,107.04,76.73
1352,10.75,8.5,0,9.5,2.55,0,50.81,79.23,73.83,109.55,81.6
1353,10.75,8.5,0,9.5,2.55,0,56.04,71.54,66.65,109.02,73.83
1354,10.75,8.5,0,9.5,2.55,0,51.69,64.59,65.03,105.54,66.65
1355,10.75,8.5,0,9.5,2.55,0,38.97,62.52,58.42,97.34,65.03
1356,10.75,8.5,0,9.5,2.55,0,36.31,56.61,58.19,92.94,58.42
1357,10.75,8.5,0,9.5,2.55,0,36.31,56.33,61.29,85,58.19
1358,10.75,8.5,0,9.5,2.55,0,35.4,58.98,64.95,55,61.29
1359,10.75,8.5,0,9.5,2.55,0,35.42,59.35,69.99,55.28,64.95
1360,10.75,8.5,0,9.5,2.55,0,40.48,62.45,77,85.04,69.66
1361,10.75,8.5,0,9.5,2.55,0,40.99,74.61,85.32,98.92,77
1362,10.75,8.5,0,9.5,2.55,0,53.05,82.67,81.01,129.9,85.37
1363,10.75,8.5,0,9.5,2.55,0,63.25,78.5,72.21,153.7,81.27
1364,10.75,8.5,0,9.5,2.55,0,56.68,69.98,65.69,156.91,72.67
1365,10.75,8.5,0,9.5,2.55,0,45.54,63.65,65.21,153.64,65.85
1366,10.75,8.5,0,9.5,2.55,0,45.54,59.95,60.76,141.64,65.21
1367,10.75,8.5,0,9.5,2.55,0,41.81,58.88,57.62,138.29,60.76
1368,10.75,8.5,0,9.5,2.55,0,37.98,55.83,57.55,132.98,57.62
1369,10.75,8.5,0,9.5,2.55,0,39.09,55.65,57.35,122.83,57.55
1370,10.75,8.5,0,9.5,2.55,0,40.4,55.51,56.87,132.91,57.35
1371,10.75,8.5,0,9.5,2.55,0,37.95,55.05,57.35,132.9,56.87
1372,10.75,8.5,0,9.5,2.55,0,37.27,54.96,63.1,125.03,57.35
1373,10.75,8.5,0,9.5,2.55,0,35.56,55.68,74.31,120.07,61.92
1374,10.75,8.5,0,9.5,2.55,0,40.19,60.12,95.63,139.83,69.14
1375,10.75,8.5,0,9.5,2.55,0,46.16,92.67,95.78,164.23,80.62
1376,10.75,8.5,0,9.5,2.55,0,56.31,92.81,80.81,186.66,92.92
1377,10.75,8.5,0,9.5,2.55,0,60.72,78.3,68.71,186.95,80.81
1378,10.75,8.5,0,9.5,2.55,0,58.19,66.58,64.93,166.57,68.71
1379,10.75,8.5,0,9.5,2.55,0,45.29,62.92,59.26,152.91,63.33
1380,10.75,8.5,0,9.5,2.55,0,42.4,57.42,59.25,135.87,57.66
1381,10.75,8.5,0,9.5,2.55,0,40.79,57.41,64.71,138.59,57.7
1382,10.75,8.5,0,9.5,2.55,0,36.34,56.01,72.06,135.52,61.11
1383,10.75,8.5,0,9.5,2.55,0,35.31,57.01,79.82,131.51,63.87
1384,10.75,8.5,0,9.5,2.55,0,35.35,59.25,98.02,132.2,63
1385,10.75,8.5,0,9.5,2.55,0,40.98,59.96,111.8,153.45,76.18
1386,10.75,8.5,0,9.5,2.55,0,52.25,59.96,105.17,170.69,103.17
1387,10.75,8.5,0,9.5,2.55,0,56.04,58.67,84.36,190.01,105.17
1388,10.75,8.5,0,9.5,2.55,0,53.51,56.13,72.37,198.15,84.49
1389,10.75,8.5,0,9.5,2.55,0,45.04,56.81,70.27,174.49,72.65
1390,10.75,8.5,0,9.5,2.55,0,40.48,56.05,64.97,160.3,70.35
1391,10.75,8.5,0,9.5,2.55,0,35.56,55.18,60.36,153.46,64.97
1392,10.75,8.5,0,9.5,2.55,0,36.8,53.15,59.4,149.46,60.36
1393,10.75,8.5,0,9.5,2.55,0,38.59,52.35,61.34,134,59.4
1394,10.75,8.5,0,9.5,2.55,0,39.16,53.61,63.46,124.82,61.34
1395,10.75,8.5,0,9.5,2.55,0,38.59,52,63.74,123.83,63.46
1396,10.75,8.5,0,9.5,2.55,0,38.33,52,67.44,124.59,63.78
1397,10.75,8.5,0,9.5,2.55,0,37.21,53.73,74.3,126.25,67.52
1398,10.75,8.5,0,9.5,2.55,0,38.59,54.71,98.89,141.41,72.38
1399,10.75,8.5,0,9.5,2.55,0,46.81,60.09,103.83,162.47,88.39
1400,10.75,8.5,0,9.5,2.55,0,48.52,57.48,85.46,177.99,104.49
1401,10.75,8.5,0,9.5,2.55,0,53.64,55.43,73.99,186.04,85.46
1402,10.75,8.5,0,9.5,2.55,0,55.65,54.09,67.55,160.31,73.99
1403,10.75,8.5,0,9.5,2.55,0,48.45,53.05,63.1,130.38,67.55
1404,10.75,8.5,0,9.5,2.55,0,46.81,52.51,57.9,124.2,63.93
1405,10.75,8.5,0,9.5,2.55,0,46.68,51.57,58.5,116.71,58.5
1406,10.75,8.5,0,9.5,2.55,0,41.37,51.09,58.89,119.19,58.63
1407,10.75,8.5,0,9.5,2.55,0,39.26,52.12,73.57,123.41,58.63
1408,10.75,8.5,0,9.5,2.55,0,39.32,56.28,70,133.2,60.88
1409,10.75,8.5,0,9.5,2.55,0,40.84,57.34,89.8,154.42,66.2
1410,10.75,8.5,0,9.5,2.55,0,54.53,56.53,78.29,173.13,82.8
1411,10.75,8.5,0,9.5,2.55,0,59.17,55.49,65.44,193.87,78.5
1412,10.75,8.5,0,9.5,2.55,0,50.6,53.95,52.27,193.78,66.01
1413,10.75,8.5,0,9.5,2.55,0,44.79,52.27,49.89,174.89,63.14
1414,10.75,8.5,0,9.5,2.55,0,41.7,49.89,47.36,158.27,64.31
1415,10.75,8.5,0,9.5,2.55,0,31.63,47.36,51.83,153.78,55.37
1416,10.75,8.5,0,9.5,2.55,0,46.78,50.33,50.72,142.14,55.19
1417,10.75,8.5,0,9.5,2.55,0,35.55,49.25,46.7,133.08,53.41
1418,10.75,8.5,0,9.5,2.55,0,28.99,48.1,45.07,125.46,50.16
1419,10.75,8.5,0,9.5,2.55,0,18.88,45.15,41,124.96,47.15
1420,10.75,8.5,0,9.5,2.55,0,10.67,43.49,42.64,127.66,44.24
1421,10.75,8.5,0,9.5,2.55,0,10.02,45.32,47.07,130.58,48.51
1422,10.75,8.5,0,9.5,2.55,0,11.76,47.07,47.24,141.35,62.2
1423,10.75,8.5,0,9.5,2.55,0,19.55,47.24,49.21,163.45,73.98
1424,10.75,8.5,0,9.5,2.55,0,22.77,49.21,49.74,186.03,74.3
1425,10.75,8.5,0,9.5,2.55,0,47.19,49.74,50,186.03,70.53
1426,10.75,8.5,0,9.5,2.55,0,56.55,50,51.37,152.9,65.65
1427,10.75,8.5,0,9.5,2.55,0,54.4,51.37,50.89,126.69,65.6
1428,10.75,8.5,0,9.5,2.55,0,42,50.89,50.6,118.72,58.99
1429,10.75,8.5,0,9.5,2.55,0,39.47,50.6,49.36,115.79,57.03
1430,10.75,8.5,0,9.5,2.55,0,30.96,49.36,49.91,114.12,59.2
1431,10.75,8.5,0,9.5,2.55,0,32.82,49.91,47.71,116.09,65.21
1432,10.75,8.5,0,9.5,2.55,0,37.95,51.25,62.61,122.81,71.66
1433,10.75,8.5,0,9.5,2.55,0,39.07,55.87,61.87,135.46,74.48
1434,10.75,8.5,0,9.5,2.55,0,54.6,56.98,54,162.74,86.26
1435,10.75,8.5,0,9.5,2.55,0,70.72,54,52.57,183.69,80.99
1436,10.75,8.5,0,9.5,2.55,0,56.98,52.57,51.58,182.48,72.77
1437,10.75,8.5,0,9.5,2.55,0,45.54,51.58,51.1,162.74,67.25
1438,10.75,8.5,0,9.5,2.55,0,44.15,51.1,50.35,144.85,64.9
1439,10.75,8.5,0,9.5,2.55,0,31.12,50.35,50.81,142.05,60.9
1440,10.75,8.5,0,9.5,2.55,0,23.38,52.33,51.51,131.51,62.04
1441,10.75,8.5,0,9.5,2.55,0,22.74,51.51,51.95,125.82,61.42
1442,10.75,8.5,0,9.5,2.55,0,17.71,51.95,51.91,128.57,58.14
1443,10.75,8.5,0,9.5,2.55,0,12.02,51.91,52.03,130.03,57.83
1444,10.75,8.5,0,9.5,2.55,0,6.3,52.03,52.52,131.47,58.3
1445,10.75,8.5,0,9.5,2.55,0,6.33,52.52,54.46,130.01,62.49
1446,10.75,8.5,0,9.5,2.55,0,10.38,54.46,58.85,135.58,71.58
1447,10.75,8.5,0,9.5,2.55,0,12.57,57.15,59.94,164.99,79.36
1448,10.75,8.5,0,9.5,2.55,0,13.05,58.2,59.95,181.11,87.8
1449,10.75,8.5,0,9.5,2.55,0,21.16,58.21,59.94,177.62,79.83
1450,10.75,8.5,0,9.5,2.55,0,30.87,58.2,57.98,141.44,66.53
1451,10.75,8.5,0,9.5,2.55,0,37.32,56.3,54.11,124.36,64.76
1452,10.75,8.5,0,9.5,2.55,0,40.48,54.33,56.6,116.79,63.16
1453,10.75,8.5,0,9.5,2.55,0,43.27,56.6,66.72,115.39,68.2
1454,10.75,8.5,0,9.5,2.55,0,43.37,61.35,72.21,113.64,66.89
1455,10.75,8.5,0,9.5,2.55,0,43.9,63.1,78.28,117.69,67.2
1456,10.75,8.5,0,9.5,2.55,0,39.22,61.93,89.4,128.62,72.49
1457,10.75,8.5,0,9.5,2.55,0,42.64,63.11,93.73,152.64,89.4
1458,10.75,8.5,0,9.5,2.55,0,49.99,62.37,87.19,166.38,91.88
1459,10.75,8.5,0,9.5,2.55,0,69.09,61.79,77.49,184.91,87.19
1460,10.75,8.5,0,9.5,2.55,0,56.85,60.05,71.62,184.13,77.49
1461,10.75,8.5,0,9.5,2.55,0,45.17,58.71,70.06,163.43,71.62
1462,10.75,8.5,0,9.5,2.55,0,44.39,56.36,66.39,159.31,70.06
1463,10.75,8.5,0,9.5,2.55,0,41.74,56.14,59.95,149.53,66.39
1464,10.75,8.5,0,9.5,2.55,0,29.83,57.36,56.03,139.9,59.95
1465,10.75,8.5,0,9.5,2.55,0,32.73,54.96,56.02,140.3,56.03
1466,10.75,8.5,0,9.5,2.55,0,40.04,54.34,55.48,130.18,56.02
1467,10.75,8.5,0,9.5,2.55,0,37.58,53.88,54.88,130.59,55.48
1468,10.75,8.5,0,9.5,2.55,0,35.17,53.37,55.99,128.43,54.88
1469,10.75,8.5,0,9.5,2.55,0,36.56,54.25,56.58,127.78,55.99
1470,10.75,8.5,0,9.5,2.55,0,40.14,54.97,58.8,135,56.58
1471,10.75,8.5,0,9.5,2.55,0,49.31,57.1,59.75,162.19,60.67
1472,10.75,8.5,0,9.5,2.55,0,48.48,58.02,65.75,187.03,63.76
1473,10.75,8.5,0,9.5,2.55,0,52.17,58.67,60.44,195.39,65.75
1474,10.75,8.5,0,9.5,2.55,0,47.1,58.34,59.18,166.48,60.44
1475,10.75,8.5,0,9.5,2.55,0,41.47,56.85,55.83,131.12,61.1
1476,10.75,8.5,0,9.5,2.55,0,39.22,54.82,54.9,123.01,57.85
1477,10.75,8.5,0,9.5,2.55,0,39.47,54.81,59.86,114.69,54.9
1478,10.75,8.5,0,9.5,2.55,0,38.79,56.73,66.08,112.1,59.86
1479,10.75,8.5,0,9.5,2.55,0,38.65,58.58,73,110.89,66.08
1480,10.75,8.5,0,9.5,2.55,0,38.98,59.19,80.63,114.69,73
1481,10.75,8.5,0,9.5,2.55,0,43.01,63.07,93.6,129.31,81.61
1482,10.75,8.5,0,9.5,2.55,0,57.02,63.93,89.9,155.98,93.6
1483,10.75,8.5,0,9.5,2.55,0,72.11,60.42,76.98,165,89.9
1484,10.75,8.5,0,9.5,2.55,0,60.35,58.55,69.81,152.94,76.98
1485,10.75,8.5,0,9.5,2.55,0,45.54,58.24,60.94,133.31,72.8
1486,10.75,8.5,0,9.5,2.55,0,43.01,57.34,54.99,122.2,84.9
1487,10.75,8.5,0,9.5,2.55,0,32.89,54.99,54.5,112.09,79.4
1488,10.75,8.5,0,9.5,2.55,0,34.2,54.5,53.63,101.63,63.7
1489,10.75,8.5,0,9.5,2.55,0,34.16,53.63,53.8,108.27,68.8
1490,10.75,8.5,0,9.5,2.55,0,35.42,53.8,55.59,95.86,66.74
1491,10.75,8.5,0,9.5,2.55,0,34.03,53.98,55.31,92.18,57.91
1492,10.75,8.5,0,9.5,2.55,0,32.97,53.71,55.82,97.96,55.48
1493,10.75,8.5,0,9.5,2.55,0,34.29,54.21,56,97.69,58.88
1494,10.75,8.5,0,9.5,2.55,0,40.23,54.66,56.88,96.98,65.05
1495,10.75,8.5,0,9.5,2.55,0,47.7,55.51,54.77,94.1,68.97
1496,10.75,8.5,0,9.5,2.55,0,51.62,54.77,53.99,98.82,69.9
1497,10.75,8.5,0,9.5,2.55,0,48.2,53.99,52.01,100.69,70.36
1498,10.75,8.5,0,9.5,2.55,0,45.54,53.46,49.46,96.89,71.24
1499,10.75,8.5,0,9.5,2.55,0,41.03,51.04,47.51,97.04,70.51
1500,10.75,8.5,0,9.5,2.55,0,41.95,48.93,42.51,94.71,54.02
1501,10.75,8.5,0,9.5,2.55,0,39.97,46.89,46.84,89.37,42.51
1502,10.75,8.5,0,9.5,2.55,0,40.48,50.26,54.13,91.26,46.84
1503,10.75,8.5,0,9.5,2.55,0,42.46,54.34,60.28,95.35,55.58
1504,10.75,8.5,0,9.5,2.55,0,44.79,58.35,75.58,101.77,60.28
1505,10.75,8.5,0,9.5,2.55,0,46.9,62.9,84.36,106.9,80
1506,10.75,8.5,0,9.5,2.55,0,63.1,63.36,79.63,140,92.01
1507,10.75,8.5,0,9.5,2.55,0,72.11,61.14,80.21,151.66,86.96
1508,10.75,8.5,0,9.5,2.55,0,62.53,59.79,75,145,81.8
1509,10.75,8.5,0,9.5,2.55,0,48.07,58.86,62.15,138.68,75
1510,10.75,8.5,0,9.5,2.55,0,39.66,58.32,72.42,117.71,72.18
1511,10.75,8.5,0,9.5,2.55,0,35.42,57.93,69.13,121.02,72.42
1512,10.75,8.5,0,9.5,2.55,0,34.13,58.49,67.9,109.41,69.13
1513,10.75,8.5,0,9.5,2.55,0,33.48,58.81,67.41,107.53,67.9
1514,10.75,8.5,0,9.5,2.55,0,35.67,58.7,66.22,106.25,67.41
1515,10.75,8.5,0,9.5,2.55,0,35.8,58.8,65.59,105.55,66.22
1516,10.75,8.5,0,9.5,2.55,0,35.13,58.99,70.83,106.84,65.59
1517,10.75,8.5,0,9.5,2.55,0,35.86,59.88,81.18,104.99,70.83
1518,10.75,8.5,0,9.5,2.55,0,41.1,60.92,96.67,105.81,81.18
1519,10.75,8.5,0,9.5,2.55,0,53.13,93.58,102.97,105.94,96.67
1520,10.75,8.5,0,9.5,2.55,0,61.83,99.78,85.02,108.39,102.97
1521,10.75,8.5,0,9.5,2.55,0,61.16,82.2,71.23,107.72,85.02
1522,10.75,8.5,0,9.5,2.55,0,63.71,63.72,61.71,107.73,72.16
1523,10.75,8.5,0,9.5,2.55,0,59.08,59.92,61.02,105.18,65.07
1524,10.75,8.5,0,9.5,2.55,0,59.46,59.25,60.98,107.55,63.93
1525,10.75,8.5,0,9.5,2.55,0,62.09,59.21,61.38,110.25,61.14
1526,10.75,8.5,0,9.5,2.55,0,57.66,59.6,59.87,107.73,62.5
1527,10.75,8.5,0,9.5,2.55,0,56.68,59.87,60.42,110.22,69.86
1528,10.75,8.5,0,9.5,2.55,0,54.27,60.42,78.08,115.14,79.18
1529,10.75,8.5,0,9.5,2.55,0,59.42,72.33,74.49,129.37,99.4
1530,10.75,8.5,0,9.5,2.55,0,85.37,72.33,64.7,145.14,105.18
1531,10.75,8.5,0,9.5,2.55,0,117.65,62.78,62.66,166.67,99.13
1532,10.75,8.5,0,9.5,2.55,0,88.55,60.89,61.01,172.37,80.52
1533,10.75,8.5,0,9.5,2.55,0,56.68,59.24,59.98,160.23,71.39
1534,10.75,8.5,0,9.5,2.55,0,46.18,58.24,59.6,152.49,67.49
1535,10.75,8.5,0,9.5,2.55,0,38.02,57.87,56.21,143.66,63.93
1536,10.75,8.5,0,9.5,2.55,0,39.7,56.21,56.48,130.13,61.96
1537,10.75,8.5,0,9.5,2.55,0,41.24,56.48,56.46,136.1,61.67
1538,10.75,8.5,0,9.5,2.55,0,38.56,56.46,56.36,125.09,61.33
1539,10.75,8.5,0,9.5,2.55,0,38.21,56.36,56.47,123.31,59.86
1540,10.75,8.5,0,9.5,2.55,0,37.45,56.47,57.39,123.12,60.56
1541,10.75,8.5,0,9.5,2.55,0,37.3,57.39,58.38,123.75,61.67
1542,10.75,8.5,0,9.5,2.55,0,39.87,58.38,60.3,137.44,71.53
1543,10.75,8.5,0,9.5,2.55,0,51.55,60.3,61.24,159.8,79.28
1544,10.75,8.5,0,9.5,2.55,0,61.94,61.24,59.64,185,83.02
1545,10.75,8.5,0,9.5,2.55,0,63.24,59.64,59.18,217.09,77
1546,10.75,8.5,0,9.5,2.55,0,66.33,59.18,59.22,188.35,71.15
1547,10.75,8.5,0,9.5,2.55,0,58.45,59.22,58.61,170.26,69.72
1548,10.75,8.5,0,9.5,2.55,0,54.78,58.61,58.59,160.84,66.06
1549,10.75,8.5,0,9.5,2.55,0,54.53,58.59,59.06,149.92,65.91
1550,10.75,8.5,0,9.5,2.55,0,47.4,59.06,59.65,144.95,69.71
1551,10.75,8.5,0,9.5,2.55,0,42.89,59.65,60.69,144.3,70.85
1552,10.75,8.5,0,9.5,2.55,0,47.57,60.69,73.86,145.78,76.33
1553,10.75,8.5,0,9.5,2.55,0,57.26,73.86,104.38,152,82.41
1554,10.75,8.5,0,9.5,2.55,0,78.06,95.72,96.6,162.01,104.49
1555,10.75,8.5,0,9.5,2.55,0,126.38,78.77,78.42,184.86,126.68
1556,10.75,8.5,0,9.5,2.55,0,91.05,67.87,73.07,174.61,105.2
1557,10.75,8.5,0,9.5,2.55,0,56.87,63.73,66,147.95,90.68
1558,10.75,8.5,0,9.5,2.55,0,45.17,61.98,70,130.39,86.1
1559,10.75,8.5,0,9.5,2.55,0,38.54,60.79,71,120.65,72.98
1560,10.75,8.5,0,9.5,2.55,0,39.14,64.02,70.7,108.58,71
1561,10.75,8.5,0,9.5,2.55,0,39.04,62.77,70.46,98.06,70.7
1562,10.75,8.5,0,9.5,2.55,0,39.11,62.17,69.74,94.26,70.46
1563,10.75,8.5,0,9.5,2.55,0,37.97,62.74,70.46,85,69.74
1564,10.75,8.5,0,9.5,2.55,0,37.37,64.92,73.91,78.96,70.46
1565,10.75,8.5,0,9.5,2.55,0,37.39,68.58,83.98,78.52,73.91
1566,10.75,8.5,0,9.5,2.55,0,37.95,80.97,106.64,85.57,83.98
1567,10.75,8.5,0,9.5,2.55,0,43.66,103.55,108.7,98.71,106.64
1568,10.75,8.5,0,9.5,2.55,0,45.54,105.33,87.21,99.57,108.7
1569,10.75,8.5,0,9.5,2.55,0,52.5,84.68,75.92,105.59,87.21
1570,10.75,8.5,0,9.5,2.55,0,50.98,73.39,72.02,91.92,76.1
1571,10.75,8.5,0,9.5,2.55,0,41.76,69.67,69.35,93.86,72.17
1572,10.75,8.5,0,9.5,2.55,0,39.95,67.32,69.29,94.26,69.35
1573,10.75,8.5,0,9.5,2.55,0,40.48,67.21,70.64,87.57,69.29
1574,10.75,8.5,0,9.5,2.55,0,38.28,68.38,72.26,93.86,70.64
1575,10.75,8.5,0,9.5,2.55,0,38.23,69.96,81.06,95.07,72.3
1576,10.75,8.5,0,9.5,2.55,0,38.45,77.24,100,97.6,77.01
1577,10.75,8.5,0,9.5,2.55,0,44.28,96.9,119.58,109.22,87.09
1578,10.75,8.5,0,9.5,2.55,0,65.78,115.87,119.25,142.97,117.8
1579,10.75,8.5,0,9.5,2.55,0,116.38,115.55,93.4,164.08,119.26
1580,10.75,8.5,0,9.5,2.55,0,71.3,90.5,80.15,143.91,93.44
1581,10.75,8.5,0,9.5,2.55,0,54.3,77.67,77.98,152.14,80.15
1582,10.75,8.5,0,9.5,2.55,0,43.71,72.88,74.34,136.43,77.98
1583,10.75,8.5,0,9.5,2.55,0,38.26,65.55,73.33,122.21,74.34
1584,10.75,8.5,0,9.5,2.55,0,57.82,67.86,72.32,115.49,73.33
1585,10.75,8.5,0,9.5,2.55,0,53.13,65.68,70.34,114.3,72.32
1586,10.75,8.5,0,9.5,2.55,0,51.17,64.77,68.71,112.1,70.34
1587,10.75,8.5,0,9.5,2.55,0,40.48,64.33,69.89,112.02,68.71
1588,10.75,8.5,0,9.5,2.55,0,37.85,64.8,73.13,111,69.89
1589,10.75,8.5,0,9.5,2.55,0,36.58,66.34,84.27,111,73.13
1590,10.75,8.5,0,9.5,2.55,0,29.78,78.46,103.2,118.23,84.27
1591,10.75,8.5,0,9.5,2.55,0,34.48,103.2,96.7,140.68,103.2
1592,10.75,8.5,0,9.5,2.55,0,38.08,93.9,79.09,158.53,96.7
1593,10.75,8.5,0,9.5,2.55,0,48.07,76.71,71.31,173.1,79.09
1594,10.75,8.5,0,9.5,2.55,0,56.17,69.02,66.16,163,71.31
1595,10.75,8.5,0,9.5,2.55,0,51.1,64.04,61.69,152.99,66.16
1596,10.75,8.5,0,9.5,2.55,0,45.67,60.98,60.26,144.17,61.58
1597,10.75,8.5,0,9.5,2.55,0,40.86,60.26,63.33,137.17,59.99
1598,10.75,8.5,0,9.5,2.55,0,36.63,61.81,66.04,135.93,63.25
1599,10.75,8.5,0,9.5,2.55,0,33.91,63.55,69.92,137.44,65.3
1600,10.75,8.5,0,9.5,2.55,0,33.06,64.88,89.2,141.09,69.4
1601,10.75,8.5,0,9.5,2.55,0,38.46,86.22,105.71,144.47,87.6
1602,10.75,8.5,0,9.5,2.55,0,48.68,102.64,90.3,153.01,104.1
1603,10.75,8.5,0,9.5,2.55,0,56.92,87.54,82.49,166.89,90.59
1604,10.75,8.5,0,9.5,2.55,0,44.79,79.9,73.35,170.02,83.29
1605,10.75,8.5,0,9.5,2.55,0,40.47,68.66,73.32,153.77,73.37
1606,10.75,8.5,0,9.5,2.55,0,35.8,64.58,67.72,134.64,73.38
1607,10.75,8.5,0,9.5,2.55,0,28.13,63.68,68.45,128.82,67.79
1608,10.75,8.5,0,9.5,2.55,0,23.42,66.11,66.96,119,68.49
1609,10.75,8.5,0,9.5,2.55,0,18.94,64.89,67.01,113.66,66.96
1610,10.75,8.5,0,9.5,2.55,0,13.81,64.87,65.99,111.39,67.01
1611,10.75,8.5,0,9.5,2.55,0,10.42,64.01,66.3,111.02,65.99
1612,10.75,8.5,0,9.5,2.55,0,9.85,64.24,67.11,109.38,65
1613,10.75,8.5,0,9.5,2.55,0,10.06,65.03,82.91,111.22,67.1
1614,10.75,8.5,0,9.5,2.55,0,9.77,75.54,95.06,113.02,78.79
1615,10.75,8.5,0,9.5,2.55,0,11.05,95.06,88.89,137.39,94.81
1616,10.75,8.5,0,9.5,2.55,0,12.65,88.66,74.36,150,88.89
1617,10.75,8.5,0,9.5,2.55,0,18.59,70.05,57.59,159.06,74.36
1618,10.75,8.5,0,9.5,2.55,0,27.83,59.37,52.07,150.93,59.66
1619,10.75,8.5,0,9.5,2.55,0,34.63,55.78,52.6,142.36,52.25
1620,10.75,8.5,0,9.5,2.55,0,37.45,54.17,51.27,131.81,42.94
1621,10.75,8.5,0,9.5,2.55,0,40.48,52.8,49.8,122,25
1622,10.75,8.5,0,9.5,2.55,0,43.01,51.98,40.25,116.45,44.06
1623,10.75,8.5,0,9.5,2.55,0,44.41,52.72,55.74,116.19,48.91
1624,10.75,8.5,0,9.5,2.55,0,26.09,58.11,71.98,116.72,56.46
1625,10.75,8.5,0,9.5,2.55,0,42.26,63.2,83.76,118.36,72.8
